timestamp,x,y,z,w
278601143191,-0.575928,0.144043,-0.13324,0.793579
278601180619,-0.575928,0.143616,-0.132202,0.793823
278601201462,-0.57605,0.14325,-0.131287,0.793945
278601208546,-0.575989,0.142883,-0.130432,0.794189
278601239841,-0.576111,0.1427,-0.129883,0.79425
278601244582,-0.57605,0.142517,-0.129395,0.794434
278601275443,-0.575867,0.142273,-0.129089,0.794678
278601291140,-0.57605,0.142273,-0.128906,0.794495
278601313017,-0.576599,0.142395,-0.128845,0.794128
278601321252,-0.576965,0.142517,-0.128967,0.793823
278601359874,-0.576965,0.142517,-0.128967,0.793823
278601364583,-0.576965,0.142578,-0.12915,0.793762
278601396824,-0.576965,0.142822,-0.129333,0.793701
278601409634,-0.577087,0.143066,-0.129517,0.793579
278601432822,-0.577271,0.143127,-0.129578,0.793396
278601448495,-0.577454,0.14325,-0.129822,0.793213
278601479484,-0.577393,0.14325,-0.129822,0.793213
278601486112,-0.577393,0.143188,-0.129822,0.793274
278601516733,-0.577393,0.143188,-0.129822,0.793274
278601531109,-0.577393,0.143188,-0.129822,0.793274
278601555809,-0.577393,0.143188,-0.129822,0.793274
278601568589,-0.577393,0.143188,-0.129822,0.793274
278601591095,-0.577393,0.143188,-0.129822,0.793274
278601607625,-0.577393,0.143188,-0.129822,0.793274
278601635304,-0.577271,0.143066,-0.129883,0.793396
278601643523,-0.577271,0.143066,-0.129883,0.793335
278601675859,-0.577271,0.143066,-0.129883,0.793396
278601688711,-0.577271,0.143066,-0.129883,0.793396
278601711218,-0.577271,0.143066,-0.129883,0.793396
278601726060,-0.577271,0.143066,-0.129883,0.793335
278601748593,-0.577271,0.143066,-0.129883,0.793396
278601765883,-0.577271,0.143066,-0.129883,0.793335
278601795880,-0.577271,0.143066,-0.129883,0.793335
278601807109,-0.577271,0.143066,-0.129883,0.793335
278601831006,-0.577271,0.143066,-0.129883,0.793335
278601847664,-0.577271,0.143005,-0.129883,0.793335
278601868620,-0.577271,0.143066,-0.129883,0.793335
278601885157,-0.577332,0.143005,-0.129883,0.793335
278601912926,-0.577271,0.143005,-0.129883,0.793335
278601928533,-0.577271,0.143005,-0.129883,0.793335
278601952649,-0.577271,0.143005,-0.129944,0.793335
278601974223,-0.577271,0.143005,-0.129883,0.793335
278601988503,-0.577271,0.143005,-0.129883,0.793335
278602005639,-0.577271,0.143005,-0.129883,0.793335
278602027580,-0.577271,0.143005,-0.129883,0.793335
278602042534,-0.577271,0.143066,-0.129883,0.793335
278602072665,-0.577271,0.143066,-0.129883,0.793335
278602087511,-0.577271,0.143066,-0.129883,0.793335
278602110176,-0.577271,0.143066,-0.129883,0.793335
278602125031,-0.577271,0.143066,-0.129883,0.793335
278602147512,-0.577332,0.143066,-0.129883,0.793335
278602167088,-0.577332,0.143066,-0.129883,0.793335
278602191122,-0.577271,0.143066,-0.129883,0.793335
278602207481,-0.577148,0.143372,-0.130005,0.793396
278602230056,-0.576965,0.143616,-0.130066,0.793457
278602245015,-0.576904,0.14386,-0.130188,0.793457
278602267981,-0.576904,0.14386,-0.130188,0.793457
278602303360,-0.576904,0.143799,-0.130493,0.793396
278602313149,-0.576904,0.144104,-0.131104,0.793213
278602326293,-0.576904,0.144836,-0.131836,0.792969
278602350474,-0.577148,0.145996,-0.132629,0.79248
278602365141,-0.577515,0.146851,-0.133362,0.791931
278602387987,-0.57782,0.147095,-0.134155,0.791504
278602410452,-0.577698,0.147461,-0.134888,0.791382
278602448993,-0.577454,0.147644,-0.135376,0.791443
278602462383,-0.577393,0.148132,-0.135925,0.791321
278602467185,-0.577576,0.148743,-0.136353,0.791016
278602485045,-0.577942,0.148926,-0.136414,0.790649
278602508133,-0.578125,0.148804,-0.136597,0.790527
278602528606,-0.577637,0.14917,-0.136536,0.790833
278602545227,-0.577515,0.149536,-0.136597,0.790833
278602567484,-0.577454,0.150085,-0.136536,0.790771
278602604314,-0.577515,0.150208,-0.13678,0.79071
278602606575,-0.57782,0.150146,-0.13739,0.790344
278602627998,-0.577942,0.149719,-0.137146,0.790405
278602664302,-0.577209,0.148865,-0.136597,0.791199
278602666736,-0.576355,0.147766,-0.136353,0.792053
278602688890,-0.575806,0.146667,-0.136353,0.792664
278602716582,-0.575256,0.14563,-0.136841,0.793152
278602725021,-0.574951,0.144531,-0.138,0.793396
278602746212,-0.574524,0.14386,-0.138611,0.793701
278602784337,-0.574646,0.142761,-0.138733,0.793823
278602786572,-0.574951,0.141724,-0.138977,0.793762
278602821070,-0.574219,0.141296,-0.13855,0.794434
278602844138,-0.572876,0.140686,-0.137756,0.795593
278602846600,-0.571655,0.140015,-0.137329,0.796692
278602881713,-0.571167,0.139893,-0.137024,0.797119
278602895298,-0.570557,0.140259,-0.137146,0.797485
278602904272,-0.570068,0.141174,-0.137329,0.797607
278602940957,-0.569031,0.142639,-0.137878,0.797974
278602964902,-0.567261,0.14325,-0.138,0.799194
278602967223,-0.566406,0.144043,-0.137817,0.799622
278603000953,-0.566345,0.145691,-0.137329,0.799438
278603015919,-0.566406,0.147461,-0.137024,0.799133
278603022770,-0.567261,0.148621,-0.137329,0.798279
278603061239,-0.568359,0.149719,-0.137817,0.797241
278603083413,-0.569458,0.150635,-0.138062,0.796204
278603101338,-0.570801,0.151184,-0.138489,0.795044
278603122349,-0.571777,0.150879,-0.138672,0.794373
278603135878,-0.572388,0.150818,-0.13855,0.794006
278603143456,-0.573181,0.150452,-0.138062,0.793579
278603173078,-0.574219,0.149841,-0.137085,0.793091
278603195575,-0.574951,0.149231,-0.136169,0.792847
278603219853,-0.575195,0.148315,-0.135437,0.792969
278603232699,-0.575012,0.147583,-0.134705,0.793335
278603255743,-0.574829,0.147034,-0.134033,0.793701
278603278508,-0.574646,0.146545,-0.133362,0.794067
278603300903,-0.574707,0.146057,-0.132507,0.794189
278603309082,-0.575378,0.14563,-0.131714,0.793945
278603338644,-0.575806,0.14502,-0.130859,0.793884
278603352900,-0.57605,0.144836,-0.130127,0.793884
278603375263,-0.576172,0.144775,-0.129517,0.793945
